AlexZapl: start('AlexZapl', 'Day', 13, '  ', '14:6:50')
О, работает!
nastixxyu: roll('nastixxyu', 'Day 13', '16:49:23')
None: anekdot('None', 'Day 13', '16:49:30')
None: animals 1('None', 'Day 13', '16:49:34')
None: anekdot('None', 'Day 13', '16:49:36')
None: anekdot('None', 'Day 13', '16:49:46')
None: anekdot('None', 'Day 13', '16:49:50')
None: animals 1('None', 'Day 13', '16:50:1')
None: anekdot('None', 'Day 13', '16:50:9')
None: start('None', 'Day 13', '16:50:10')
None: anekdot('None', 'Day 13', '16:50:15')
None: commands('None', 'Day 13', '16:50:16')
None: UNKNOWN('None', 'Day 13', '16:50:21')
None: roll('None', 'Day 13', '16:50:21')
None: story('None', 'Day 13', '16:50:30')
None: anekdot('None', 'Day 13', '16:50:42')
None: anekdot('None', 'Day 13', '16:50:59')
None: anekdot('None', 'Day 13', '16:51:15')
None: joke('None', 'Day 13', '16:51:40')
Obratnaya_storona_lyni: start('Obratnaya_storona_lyni', 'Day 13', '16:55:53')
Obratnaya_storona_lyni: commands('Obratnaya_storona_lyni', 'Day 13', '16:55:58')
Obratnaya_storona_lyni: UNKNOWN('Obratnaya_storona_lyni', 'Day 13', '16:56:2')
Obratnaya_storona_lyni: info('Obratnaya_storona_lyni', 'Day 13', '16:56:4')
Obratnaya_storona_lyni: anekdot('Obratnaya_storona_lyni', 'Day 13', '16:56:8')
None: roll('None', 'Day 13', '16:57:1')
None: anekdot('None', 'Day 13', '16:57:14')
None: info('None', 'Day 13', '16:57:39')
None: start('None', 'Day 13', '16:57:47')
None: commands('None', 'Day 13', '16:57:49')
None: start('None', 'Day 13', '16:57:51')
